[792, 612]
[paragraph, [118.0, 95.0, 107.0, 18.0], -WdjmLBdJa, 6493664]
[paragraph, [152.0, 124.0, 325.0, 18.0], VJFrFw4C2l, 6493664]
[paragraph, [147.0, 153.0, 143.0, 18.0], UuOBKyYhaO, 6493664]
[paragraph, [120.0, 177.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 195.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 213.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 231.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 249.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 267.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 285.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 303.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 321.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 339.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 357.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 375.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 393.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 411.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 429.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 447.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 465.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [120.0, 483.0, 407.0, 18.0], shoonya_0sRKGLI0NYSRXB, 6493664]
[paragraph, [119.0, 521.0, 405.0, 18.0], shoonya_1sZ5CIU6VOXSBP, 6493664]
[paragraph, [119.0, 539.0, 405.0, 18.0], shoonya_1sZ5CIU6VOXSBP, 6493664]
[paragraph, [114.0, 578.0, 411.0, 18.0], shoonya_4sPQYKY9D4C8AC, 6493664]
[paragraph, [114.0, 596.0, 411.0, 18.0], shoonya_4sPQYKY9D4C8AC, 6493664]
[paragraph, [114.0, 614.0, 411.0, 18.0], shoonya_4sPQYKY9D4C8AC, 6493664]
[paragraph, [114.0, 632.0, 411.0, 18.0], shoonya_4sPQYKY9D4C8AC, 6493664]
[paragraph, [114.0, 650.0, 411.0, 18.0], shoonya_4sPQYKY9D4C8AC, 6493664]
[paragraph, [114.0, 668.0, 411.0, 18.0], shoonya_4sPQYKY9D4C8AC, 6493664]
[paragraph, [137.0, 704.0, 184.0, 18.0], shoonya_3sF0MPWHEA05BB, 6493664]
[paragraph, [149.0, 731.0, 378.0, 18.0], shoonya_5sFFZ2PUHRIAMN, 6493664]
