[842, 595]
[ordered-list, [48.0, 58.0, 499.0, 18.0], uzD_Q-_ku3, 5707231]
[ordered-list, [48.0, 76.0, 499.0, 18.0], uzD_Q-_ku3, 5707231]
[ordered-list, [48.0, 94.0, 499.0, 18.0], uzD_Q-_ku3, 5707231]
[ordered-list, [48.0, 112.0, 499.0, 18.0], uzD_Q-_ku3, 5707231]
[ordered-list, [48.0, 130.0, 499.0, 18.0], uzD_Q-_ku3, 5707231]
[ordered-list, [48.0, 148.0, 499.0, 18.0], uzD_Q-_ku3, 5707231]
[ordered-list, [45.0, 167.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 185.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 203.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 221.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 239.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 257.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 275.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 293.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 311.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 329.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 347.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 365.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 383.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 401.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 419.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 437.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 455.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 473.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 491.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 509.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 527.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 545.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[ordered-list, [45.0, 563.0, 504.0, 18.0], 6PVqtippX8, 5707231]
[sub-ordered-list, [46.0, 270.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 288.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 306.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 324.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 342.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 360.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 378.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 396.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 414.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 432.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 450.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 468.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 486.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 504.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 522.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 540.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[sub-ordered-list, [46.0, 558.0, 504.0, 18.0], x1t1DjwU4u, 5707231]
[contact-info, [347.0, 620.0, 155.0, 18.0], o6_ySIQ638, 5707231]
[contact-info, [347.0, 638.0, 155.0, 18.0], o6_ySIQ638, 5707231]
[paragraph, [46.0, 668.0, 382.0, 18.0], shoonya_0sTLT6VLC57ZDI, 5707231]
[ordered-list, [43.0, 708.0, 401.0, 18.0], 90G0Wcwe8Z, 5707231]
[ordered-list, [43.0, 726.0, 401.0, 18.0], 90G0Wcwe8Z, 5707231]
