[2339, 1656]
[section-title, [172.0, 142.0, 808.0, 52.5], rWAk9pmRRh, 5690093]
[paragraph, [167.0, 244.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 280.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 316.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 352.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 388.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 424.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 460.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 496.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[paragraph, [167.0, 532.0, 1361.0, 36.0], shoonya_1sDQLIV2P6QH1R, 5690093]
[section-title, [170.0, 639.0, 1133.0, 52.5], rhyUcFdp6e, 5690093]
[paragraph, [167.0, 729.0, 1354.0, 36.0], shoonya_8sCI1ZPXB09T9D, 5690093]
[paragraph, [167.0, 765.0, 1354.0, 36.0], shoonya_8sCI1ZPXB09T9D, 5690093]
[paragraph, [167.0, 801.0, 1354.0, 36.0], shoonya_8sCI1ZPXB09T9D, 5690093]
[paragraph, [167.0, 837.0, 1354.0, 36.0], shoonya_8sCI1ZPXB09T9D, 5690093]
[paragraph, [167.0, 873.0, 1354.0, 36.0], shoonya_8sCI1ZPXB09T9D, 5690093]
[section-title, [466.0, 976.0, 750.0, 52.5], shoonya_6s72Z1KP0WCP1U, 5690093]
[paragraph, [167.0, 1102.0, 1357.0, 36.0], shoonya_4s54L77T2P6QAL, 5690093]
[paragraph, [167.0, 1138.0, 1357.0, 36.0], shoonya_4s54L77T2P6QAL, 5690093]
[paragraph, [167.0, 1174.0, 1357.0, 36.0], shoonya_4s54L77T2P6QAL, 5690093]
[paragraph, [167.0, 1210.0, 1357.0, 36.0], shoonya_4s54L77T2P6QAL, 5690093]
[paragraph, [167.0, 1246.0, 1357.0, 36.0], shoonya_4s54L77T2P6QAL, 5690093]
[paragraph, [167.0, 1282.0, 1357.0, 36.0], shoonya_4s54L77T2P6QAL, 5690093]
[paragraph, [167.0, 1318.0, 1357.0, 36.0], shoonya_4s54L77T2P6QAL, 5690093]
[paragraph, [160.0, 1395.0, 1363.0, 36.0], shoonya_3s9M3NB9DP03YW, 5690093]
[paragraph, [160.0, 1431.0, 1363.0, 36.0], shoonya_3s9M3NB9DP03YW, 5690093]
[paragraph, [160.0, 1467.0, 1363.0, 36.0], shoonya_3s9M3NB9DP03YW, 5690093]
[paragraph, [160.0, 1503.0, 1363.0, 36.0], shoonya_3s9M3NB9DP03YW, 5690093]
[paragraph, [160.0, 1539.0, 1363.0, 36.0], shoonya_3s9M3NB9DP03YW, 5690093]
[section-title, [632.0, 1646.0, 420.0, 52.5], shoonya_5sZZL9R5WT1T3T, 5690093]
[paragraph, [164.0, 1761.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 1797.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 1833.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 1869.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 1905.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 1941.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 1977.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 2013.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 2049.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 2085.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
[paragraph, [164.0, 2121.0, 1362.0, 36.0], shoonya_0sFG0I4E5JHX5D, 5690093]
