[1387, 987]
[paragraph, [72.0, 100.0, 823.0, 18.0], shoonya_0sHP54IAOYL4HC, 5652452]
[paragraph, [72.0, 118.0, 823.0, 18.0], shoonya_0sHP54IAOYL4HC, 5652452]
[paragraph, [72.0, 136.0, 823.0, 18.0], shoonya_0sHP54IAOYL4HC, 5652452]
[paragraph, [72.0, 154.0, 823.0, 18.0], shoonya_0sHP54IAOYL4HC, 5652452]
[paragraph, [72.0, 172.0, 823.0, 18.0], shoonya_0sHP54IAOYL4HC, 5652452]
[paragraph, [72.0, 190.0, 823.0, 18.0], shoonya_0sHP54IAOYL4HC, 5652452]
[paragraph, [75.0, 215.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 233.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 251.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 269.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 287.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 305.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 323.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 341.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 359.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [75.0, 377.0, 798.0, 18.0], vo5hxDA_qM, 5652452]
[paragraph, [61.0, 399.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 417.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 435.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 453.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 471.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 489.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 507.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 525.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 543.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [61.0, 561.0, 810.0, 18.0], JpGCz3haFe, 5652452]
[paragraph, [51.0, 581.0, 867.0, 18.0], AWlprORGQO, 5652452]
[paragraph, [51.0, 599.0, 867.0, 18.0], AWlprORGQO, 5652452]
[paragraph, [51.0, 617.0, 867.0, 18.0], AWlprORGQO, 5652452]
[paragraph, [51.0, 635.0, 867.0, 18.0], AWlprORGQO, 5652452]
[paragraph, [51.0, 653.0, 867.0, 18.0], AWlprORGQO, 5652452]
[paragraph, [51.0, 671.0, 867.0, 18.0], AWlprORGQO, 5652452]
[paragraph, [81.0, 701.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 719.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 737.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 755.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 773.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 791.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 809.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 827.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 845.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 863.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 881.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 899.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 917.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 935.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 953.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 971.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 989.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1007.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1025.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1043.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1061.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1079.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1097.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1115.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1133.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1151.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1169.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1187.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
[paragraph, [81.0, 1205.0, 809.0, 18.0], DZBZYTlAAx, 5652452]
