[2640, 1662]
[flag, [1288.0, 73.0, 364.0, 46.5], agclkYpziL, 5694116]
[flag, [1288.0, 119.5, 364.0, 46.5], agclkYpziL, 5694116]
[headline, [326.0, 182.0, 693.0, 52.5], cAz9_R6Qxr, 5694116]
[headline, [326.0, 234.5, 693.0, 52.5], cAz9_R6Qxr, 5694116]
[headline, [326.0, 287.0, 693.0, 52.5], cAz9_R6Qxr, 5694116]
[ordered-list, [1169.0, 324.0, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 370.5, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 417.0, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 463.5, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 510.0, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 556.5, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 603.0, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 649.5, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 696.0, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 742.5, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 789.0, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[ordered-list, [1169.0, 835.5, 481.0, 46.5], shoonya_11sFO8FKWUHYTD, 5694116]
[unordered-list, [1178.0, 915.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 961.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1008.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1054.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1101.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1147.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1194.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1240.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1287.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1333.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1380.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1426.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1473.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1519.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1566.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1612.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1659.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1705.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1752.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1798.5, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[unordered-list, [1178.0, 1845.0, 450.0, 46.5], shoonya_10sZ9QVQYQEEEC, 5694116]
[contact-info, [188.0, 2422.0, 1098.0, 46.5], shoonya_13sWVICXAVAZCX, 5694116]
