[792, 532]
[folio, [403.0, 4.0, 106.0, 18.0], BqVSWCAXHK, 6462224]
[ordered-list, [56.0, 41.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 59.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 77.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 95.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 113.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 131.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 149.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 167.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 185.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[ordered-list, [56.0, 203.0, 184.0, 18.0], WF0bNJUbNq, 6462224]
[paragraph, [22.0, 217.0, 492.0, 18.0], MvnEx8xA16, 6462224]
[paragraph, [22.0, 235.0, 492.0, 18.0], MvnEx8xA16, 6462224]
[paragraph, [22.0, 253.0, 492.0, 18.0], MvnEx8xA16, 6462224]
[paragraph, [22.0, 271.0, 492.0, 18.0], MvnEx8xA16, 6462224]
[paragraph, [22.0, 289.0, 492.0, 18.0], MvnEx8xA16, 6462224]
[paragraph, [22.0, 307.0, 492.0, 18.0], MvnEx8xA16, 6462224]
[paragraph, [21.0, 325.0, 492.0, 18.0], FdGk5YZc8K, 6462224]
[paragraph, [21.0, 343.0, 492.0, 18.0], FdGk5YZc8K, 6462224]
[paragraph, [19.0, 378.0, 496.0, 18.0], IRuffMDIw-, 6462224]
[paragraph, [19.0, 396.0, 496.0, 18.0], IRuffMDIw-, 6462224]
[paragraph, [19.0, 414.0, 496.0, 18.0], IRuffMDIw-, 6462224]
[paragraph, [19.0, 432.0, 496.0, 18.0], IRuffMDIw-, 6462224]
[paragraph, [19.0, 450.0, 496.0, 18.0], IRuffMDIw-, 6462224]
[paragraph, [19.0, 468.0, 496.0, 18.0], IRuffMDIw-, 6462224]
[paragraph, [19.0, 486.0, 496.0, 18.0], IRuffMDIw-, 6462224]
[paragraph, [16.0, 518.0, 502.0, 18.0], WxkYLDpYVZ, 6462224]
[paragraph, [16.0, 536.0, 502.0, 18.0], WxkYLDpYVZ, 6462224]
[paragraph, [16.0, 554.0, 502.0, 18.0], WxkYLDpYVZ, 6462224]
[paragraph, [16.0, 572.0, 502.0, 18.0], WxkYLDpYVZ, 6462224]
[paragraph, [16.0, 590.0, 502.0, 18.0], WxkYLDpYVZ, 6462224]
[paragraph, [16.0, 608.0, 502.0, 18.0], WxkYLDpYVZ, 6462224]
[paragraph, [16.0, 634.0, 500.0, 18.0], choUfcuSjx, 6462224]
[paragraph, [16.0, 652.0, 500.0, 18.0], choUfcuSjx, 6462224]
[paragraph, [16.0, 670.0, 500.0, 18.0], choUfcuSjx, 6462224]
[paragraph, [54.0, 698.0, 187.0, 18.0], Bo_6ahbtLm, 6462224]
[paragraph, [51.0, 730.0, 354.0, 18.0], xOylLYVfF9, 6462224]
