[1038, 693]
[paragraph, [72.0, 62.0, 569.0, 18.0], shoonya_3sJRMK99HA4GLS, 5691195]
[paragraph, [72.0, 80.0, 569.0, 18.0], shoonya_3sJRMK99HA4GLS, 5691195]
[paragraph, [72.0, 98.0, 569.0, 18.0], shoonya_3sJRMK99HA4GLS, 5691195]
[paragraph, [72.0, 116.0, 569.0, 18.0], shoonya_3sJRMK99HA4GLS, 5691195]
[paragraph, [72.0, 134.0, 569.0, 18.0], shoonya_3sJRMK99HA4GLS, 5691195]
[paragraph, [72.0, 152.0, 569.0, 18.0], shoonya_3sJRMK99HA4GLS, 5691195]
[paragraph, [72.0, 177.0, 571.0, 18.0], shoonya_2sYTONY0A5MVVH, 5691195]
[paragraph, [72.0, 195.0, 571.0, 18.0], shoonya_2sYTONY0A5MVVH, 5691195]
[paragraph, [72.0, 213.0, 571.0, 18.0], shoonya_2sYTONY0A5MVVH, 5691195]
[paragraph, [72.0, 231.0, 571.0, 18.0], shoonya_2sYTONY0A5MVVH, 5691195]
[paragraph, [69.0, 261.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 279.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 297.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 315.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 333.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 351.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 369.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 387.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 405.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 423.0, 574.0, 18.0], shoonya_0sA306K83RT8Z6, 5691195]
[paragraph, [69.0, 453.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 471.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 489.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 507.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 525.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 543.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 561.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 579.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 597.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 615.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 633.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 651.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 669.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 687.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 705.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 723.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 741.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 759.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 777.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 795.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [69.0, 813.0, 577.0, 18.0], shoonya_1s8QLLDJC7FDU1, 5691195]
[paragraph, [113.0, 839.0, 530.0, 18.0], xUYMgEinJz, 5691195]
[paragraph, [113.0, 857.0, 530.0, 18.0], xUYMgEinJz, 5691195]
[paragraph, [70.0, 884.0, 577.0, 18.0], 1n54gr659X, 5691195]
[paragraph, [70.0, 902.0, 577.0, 18.0], 1n54gr659X, 5691195]
[paragraph, [70.0, 920.0, 577.0, 18.0], 1n54gr659X, 5691195]
[paragraph, [70.0, 938.0, 577.0, 18.0], 1n54gr659X, 5691195]
