[1361, 827]
[folio, [107.0, 58.0, 112.0, 18.0], DoJ9QTO8WQ, 5782455]
[folio, [107.0, 76.0, 112.0, 18.0], DoJ9QTO8WQ, 5782455]
[folio, [293.0, 114.0, 262.0, 18.0], shoonya_6sMLJ2Q9FF18PC, 5782455]
[sidebar, [640.0, 597.0, 104.0, 18.0], shoonya_3sEEED5DWTS6DA, 5782455]
[figure-caption, [149.0, 607.0, 551.0, 18.0], shoonya_5sEVVOM0Q6CKUC, 5782455]
[paragraph, [92.0, 654.0, 654.0, 18.0], shoonya_4sEV5KYDNRNZUI, 5782455]
[paragraph, [92.0, 672.0, 654.0, 18.0], shoonya_4sEV5KYDNRNZUI, 5782455]
[paragraph, [92.0, 690.0, 654.0, 18.0], shoonya_4sEV5KYDNRNZUI, 5782455]
[paragraph, [92.0, 708.0, 654.0, 18.0], shoonya_4sEV5KYDNRNZUI, 5782455]
[ordered-list, [96.0, 728.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [96.0, 746.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [96.0, 764.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [96.0, 782.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [96.0, 800.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [96.0, 818.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [96.0, 836.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [96.0, 854.0, 649.0, 18.0], shoonya_2sPLK7M5GKKJIO, 5782455]
[ordered-list, [91.0, 882.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 900.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 918.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 936.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 954.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 972.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 990.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1008.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1026.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1044.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1062.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1080.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1098.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1116.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1134.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1152.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1170.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1188.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[ordered-list, [91.0, 1206.0, 664.0, 18.0], OzhCRMtauP, 5782455]
[sub-ordered-list, [99.0, 903.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 921.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 939.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 957.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 975.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 993.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1011.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1029.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1047.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1065.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1083.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1101.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1119.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1137.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1155.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1173.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1191.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
[sub-ordered-list, [99.0, 1209.0, 645.0, 18.0], Xy26ajuh-9, 5782455]
