[1418, 1063]
[folio, [332.0, 108.0, 395.0, 18.0], shoonya_3sLGRU070XFURU, 6468323]
[folio, [332.0, 126.0, 395.0, 18.0], shoonya_3sLGRU070XFURU, 6468323]
[folio, [332.0, 144.0, 395.0, 18.0], shoonya_3sLGRU070XFURU, 6468323]
[paragraph, [91.0, 193.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 211.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 229.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 247.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 265.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 283.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 301.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 319.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 337.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 355.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 373.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 391.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 409.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [91.0, 427.0, 887.0, 18.0], shoonya_1sWVUM0127LVPO, 6468323]
[paragraph, [88.0, 463.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 481.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 499.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 517.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 535.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 553.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 571.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 589.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 607.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 625.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 643.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 661.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 679.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 697.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 715.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 733.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 751.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 769.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 787.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 805.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 823.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 841.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
[paragraph, [88.0, 859.0, 889.0, 18.0], shoonya_0s5TOZX31NPHPB, 6468323]
