[1823, 1375]
[folio, [596.0, 109.0, 181.0, 36.0], shoonya_4sH6RVCA6JVAG6, 5684458]
[paragraph, [98.0, 170.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 206.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 242.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 278.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 314.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 350.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 386.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 422.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 458.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 494.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [98.0, 530.0, 585.0, 36.0], shoonya_0s72IE8UJCZJ19, 5684458]
[paragraph, [700.0, 174.0, 572.0, 36.0], shoonya_5sG3JBLM16B0SZ, 5684458]
[paragraph, [700.0, 210.0, 572.0, 36.0], shoonya_5sG3JBLM16B0SZ, 5684458]
[paragraph, [702.0, 255.0, 569.0, 36.0], ek2Hw6Wfya, 5684458]
[paragraph, [702.0, 291.0, 569.0, 36.0], ek2Hw6Wfya, 5684458]
[paragraph, [702.0, 327.0, 569.0, 36.0], ek2Hw6Wfya, 5684458]
[paragraph, [702.0, 363.0, 569.0, 36.0], ek2Hw6Wfya, 5684458]
[paragraph, [702.0, 399.0, 569.0, 36.0], ek2Hw6Wfya, 5684458]
[paragraph, [703.0, 441.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 477.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 513.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 549.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 585.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 621.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 657.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 693.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 729.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 765.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 801.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 837.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 873.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 909.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 945.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [703.0, 981.0, 567.0, 36.0], shoonya_2s7E70O41DWHSN, 5684458]
[paragraph, [95.0, 602.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 638.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 674.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 710.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 746.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 782.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 818.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 854.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 890.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 926.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 962.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 998.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1034.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1070.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1106.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1142.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1178.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1214.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1250.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1286.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1322.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1358.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
[paragraph, [95.0, 1394.0, 585.0, 36.0], shoonya_1sGC4MDFFWGI8X, 5684458]
