[710, 559]
[folio, [219.0, 13.0, 298.0, 18.0], Qwu0JWTULX, 5760377]
[folio, [219.0, 31.0, 298.0, 18.0], Qwu0JWTULX, 5760377]
[paragraph, [34.0, 53.0, 486.0, 18.0], shoonya_8sO823QHA1ZGZ2, 5760377]
[paragraph, [34.0, 71.0, 486.0, 18.0], shoonya_8sO823QHA1ZGZ2, 5760377]
[paragraph, [34.0, 89.0, 486.0, 18.0], shoonya_8sO823QHA1ZGZ2, 5760377]
[paragraph, [35.0, 108.0, 488.0, 18.0], shoonya_1sHVQNBUFZT6ZQ, 5760377]
[paragraph, [35.0, 126.0, 488.0, 18.0], shoonya_1sHVQNBUFZT6ZQ, 5760377]
[paragraph, [35.0, 144.0, 488.0, 18.0], shoonya_1sHVQNBUFZT6ZQ, 5760377]
[paragraph, [35.0, 162.0, 488.0, 18.0], shoonya_1sHVQNBUFZT6ZQ, 5760377]
[paragraph, [35.0, 180.0, 488.0, 18.0], shoonya_1sHVQNBUFZT6ZQ, 5760377]
[paragraph, [37.0, 216.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [37.0, 234.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [37.0, 252.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [37.0, 270.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [37.0, 288.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [37.0, 306.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [37.0, 324.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [37.0, 342.0, 483.0, 18.0], shoonya_0sVSA4ZJ0V1EOU, 5760377]
[paragraph, [36.0, 365.0, 485.0, 18.0], shoonya_4s8EG9FI5NGRLZ, 5760377]
[paragraph, [36.0, 383.0, 485.0, 18.0], shoonya_4s8EG9FI5NGRLZ, 5760377]
[paragraph, [36.0, 401.0, 485.0, 18.0], shoonya_4s8EG9FI5NGRLZ, 5760377]
[paragraph, [36.0, 419.0, 485.0, 18.0], shoonya_4s8EG9FI5NGRLZ, 5760377]
[paragraph, [36.0, 437.0, 485.0, 18.0], shoonya_4s8EG9FI5NGRLZ, 5760377]
[paragraph, [38.0, 471.0, 481.0, 18.0], shoonya_2sOEJ954QPBYQ9, 5760377]
[paragraph, [38.0, 489.0, 481.0, 18.0], shoonya_2sOEJ954QPBYQ9, 5760377]
[paragraph, [38.0, 507.0, 481.0, 18.0], shoonya_2sOEJ954QPBYQ9, 5760377]
[paragraph, [38.0, 525.0, 481.0, 18.0], shoonya_2sOEJ954QPBYQ9, 5760377]
[paragraph, [38.0, 543.0, 481.0, 18.0], shoonya_2sOEJ954QPBYQ9, 5760377]
[paragraph, [38.0, 561.0, 481.0, 18.0], shoonya_2sOEJ954QPBYQ9, 5760377]
[paragraph, [38.0, 579.0, 481.0, 18.0], shoonya_2sOEJ954QPBYQ9, 5760377]
[paragraph, [78.0, 605.0, 144.0, 18.0], shoonya_5sJROXJDUYZDRQ, 5760377]
[paragraph, [39.0, 632.0, 484.0, 18.0], shoonya_6sQUJRENQDHBPA, 5760377]
[paragraph, [39.0, 650.0, 484.0, 18.0], shoonya_6sQUJRENQDHBPA, 5760377]
[paragraph, [39.0, 668.0, 484.0, 18.0], shoonya_6sQUJRENQDHBPA, 5760377]
