[792, 612]
[headline, [55.0, 85.0, 473.0, 25.5], shoonya_10sXIHZU98Y5UX, 6516440]
[headline, [55.0, 110.5, 473.0, 25.5], shoonya_10sXIHZU98Y5UX, 6516440]
[headline, [55.0, 136.0, 473.0, 25.5], shoonya_10sXIHZU98Y5UX, 6516440]
[headline, [55.0, 161.5, 473.0, 25.5], shoonya_10sXIHZU98Y5UX, 6516440]
[headline, [55.0, 187.0, 473.0, 25.5], shoonya_10sXIHZU98Y5UX, 6516440]
[paragraph, [57.0, 270.0, 162.0, 18.0], tI_ApVevi3, 6516440]
[paragraph, [57.0, 288.0, 162.0, 18.0], tI_ApVevi3, 6516440]
[paragraph, [57.0, 306.0, 162.0, 18.0], tI_ApVevi3, 6516440]
[paragraph, [57.0, 324.0, 162.0, 18.0], tI_ApVevi3, 6516440]
[paragraph, [57.0, 342.0, 162.0, 18.0], tI_ApVevi3, 6516440]
[paragraph, [57.0, 360.0, 162.0, 18.0], tI_ApVevi3, 6516440]
[paragraph, [57.0, 378.0, 162.0, 18.0], tI_ApVevi3, 6516440]
[paragraph, [394.0, 383.0, 161.0, 18.0], shoonya_9sAMFQ1RU5EDME, 6516440]
[paragraph, [58.0, 413.0, 161.0, 18.0], shoonya_2s6QDW4B3FV10N, 6516440]
[paragraph, [58.0, 431.0, 161.0, 18.0], shoonya_2s6QDW4B3FV10N, 6516440]
[paragraph, [58.0, 449.0, 161.0, 18.0], shoonya_2s6QDW4B3FV10N, 6516440]
[paragraph, [58.0, 467.0, 161.0, 18.0], shoonya_2s6QDW4B3FV10N, 6516440]
[paragraph, [58.0, 485.0, 161.0, 18.0], shoonya_2s6QDW4B3FV10N, 6516440]
[paragraph, [58.0, 503.0, 161.0, 18.0], shoonya_2s6QDW4B3FV10N, 6516440]
[paragraph, [58.0, 521.0, 161.0, 18.0], shoonya_2s6QDW4B3FV10N, 6516440]
[paragraph, [391.0, 413.0, 163.0, 18.0], shoonya_7sJ5RZZSGP83MA, 6516440]
[paragraph, [391.0, 431.0, 163.0, 18.0], shoonya_7sJ5RZZSGP83MA, 6516440]
[paragraph, [391.0, 449.0, 163.0, 18.0], shoonya_7sJ5RZZSGP83MA, 6516440]
[paragraph, [391.0, 467.0, 163.0, 18.0], shoonya_7sJ5RZZSGP83MA, 6516440]
[paragraph, [391.0, 485.0, 163.0, 18.0], shoonya_7sJ5RZZSGP83MA, 6516440]
[paragraph, [225.0, 437.0, 162.0, 18.0], shoonya_3sIMCPXI33PNZT, 6516440]
[paragraph, [225.0, 455.0, 162.0, 18.0], shoonya_3sIMCPXI33PNZT, 6516440]
[paragraph, [225.0, 473.0, 162.0, 18.0], shoonya_3sIMCPXI33PNZT, 6516440]
[paragraph, [225.0, 491.0, 162.0, 18.0], shoonya_3sIMCPXI33PNZT, 6516440]
[paragraph, [392.0, 505.0, 162.0, 18.0], shoonya_5s3F3LYCYN0Y0B, 6516440]
[paragraph, [392.0, 523.0, 162.0, 18.0], shoonya_5s3F3LYCYN0Y0B, 6516440]
[paragraph, [392.0, 541.0, 162.0, 18.0], shoonya_5s3F3LYCYN0Y0B, 6516440]
[paragraph, [392.0, 559.0, 162.0, 18.0], shoonya_5s3F3LYCYN0Y0B, 6516440]
[paragraph, [392.0, 577.0, 162.0, 18.0], shoonya_5s3F3LYCYN0Y0B, 6516440]
[paragraph, [392.0, 595.0, 162.0, 18.0], shoonya_5s3F3LYCYN0Y0B, 6516440]
[paragraph, [225.0, 517.0, 161.0, 18.0], shoonya_4sIGYWTKVV0SGU, 6516440]
[paragraph, [225.0, 535.0, 161.0, 18.0], shoonya_4sIGYWTKVV0SGU, 6516440]
[paragraph, [225.0, 553.0, 161.0, 18.0], shoonya_4sIGYWTKVV0SGU, 6516440]
[paragraph, [225.0, 571.0, 161.0, 18.0], shoonya_4sIGYWTKVV0SGU, 6516440]
[paragraph, [225.0, 589.0, 161.0, 18.0], shoonya_4sIGYWTKVV0SGU, 6516440]
[paragraph, [57.0, 544.0, 161.0, 18.0], shoonya_6s5CC5ON18F8LZ, 6516440]
[paragraph, [57.0, 562.0, 161.0, 18.0], shoonya_6s5CC5ON18F8LZ, 6516440]
[paragraph, [57.0, 580.0, 161.0, 18.0], shoonya_6s5CC5ON18F8LZ, 6516440]
[paragraph, [57.0, 598.0, 161.0, 18.0], shoonya_6s5CC5ON18F8LZ, 6516440]
[paragraph, [391.0, 622.0, 164.0, 18.0], shoonya_8sO2WP70JNULR0, 6516440]
[paragraph, [391.0, 640.0, 164.0, 18.0], shoonya_8sO2WP70JNULR0, 6516440]
[paragraph, [391.0, 658.0, 164.0, 18.0], shoonya_8sO2WP70JNULR0, 6516440]
[paragraph, [391.0, 676.0, 164.0, 18.0], shoonya_8sO2WP70JNULR0, 6516440]
[sidebar, [51.0, 652.0, 328.0, 18.0], fd344hPSVt, 6516440]
[sidebar, [51.0, 670.0, 328.0, 18.0], fd344hPSVt, 6516440]
[sidebar, [51.0, 688.0, 328.0, 18.0], fd344hPSVt, 6516440]
[sidebar, [51.0, 706.0, 328.0, 18.0], fd344hPSVt, 6516440]
[sidebar, [51.0, 724.0, 328.0, 18.0], fd344hPSVt, 6516440]
[contact-info, [393.0, 717.0, 163.0, 18.0], TYvueVxSuY, 6516440]
