[2342, 1678]
[folio, [238.0, 102.0, 368.0, 36.0], 56U5UvuL_n, 5656577]
[folio, [238.0, 138.0, 368.0, 36.0], 56U5UvuL_n, 5656577]
[folio, [238.0, 174.0, 368.0, 36.0], 56U5UvuL_n, 5656577]
[contact-info, [984.0, 119.0, 408.0, 36.0], V-0Ml7diTX, 5656577]
[contact-info, [984.0, 155.0, 408.0, 36.0], V-0Ml7diTX, 5656577]
[chapter-title, [578.0, 293.0, 481.0, 70.5], N2mrdRWNg7, 5656577]
[author, [1286.0, 485.0, 224.0, 36.0], Q2JWNt0PhP, 5656577]
[contact-info, [724.0, 557.0, 777.0, 36.0], bj0FgSlBwK, 5656577]
[contact-info, [724.0, 593.0, 777.0, 36.0], bj0FgSlBwK, 5656577]
[paragraph, [109.0, 670.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 706.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 742.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 778.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 814.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 850.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 886.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 922.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [109.0, 958.0, 726.0, 36.0], shoonya_1sNJ5O6Z457Z5Q, 5656577]
[paragraph, [124.0, 1006.0, 709.0, 36.0], shoonya_4s8XMZ95434VHP, 5656577]
[paragraph, [124.0, 1042.0, 709.0, 36.0], shoonya_4s8XMZ95434VHP, 5656577]
[paragraph, [124.0, 1078.0, 709.0, 36.0], shoonya_4s8XMZ95434VHP, 5656577]
[paragraph, [124.0, 1114.0, 709.0, 36.0], shoonya_4s8XMZ95434VHP, 5656577]
[paragraph, [124.0, 1150.0, 709.0, 36.0], shoonya_4s8XMZ95434VHP, 5656577]
[paragraph, [116.0, 1204.0, 1417.0, 36.0], shoonya_6sCBD2MJOKVQKE, 5656577]
[paragraph, [116.0, 1240.0, 1417.0, 36.0], shoonya_6sCBD2MJOKVQKE, 5656577]
[paragraph, [116.0, 1276.0, 1417.0, 36.0], shoonya_6sCBD2MJOKVQKE, 5656577]
[paragraph, [116.0, 1312.0, 1417.0, 36.0], shoonya_6sCBD2MJOKVQKE, 5656577]
[paragraph, [112.0, 1374.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1410.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1446.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1482.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1518.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1554.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1590.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1626.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1662.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1698.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1734.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [112.0, 1770.0, 1409.0, 36.0], shoonya_2sS74Z6NMR9IQV, 5656577]
[paragraph, [475.0, 1826.0, 693.0, 36.0], j95nysItRI, 5656577]
[paragraph, [475.0, 1862.0, 693.0, 36.0], j95nysItRI, 5656577]
[paragraph, [475.0, 1898.0, 693.0, 36.0], j95nysItRI, 5656577]
[paragraph, [113.0, 1946.0, 1405.0, 36.0], shoonya_5sQZCVQNJTLTYP, 5656577]
[paragraph, [113.0, 1982.0, 1405.0, 36.0], shoonya_5sQZCVQNJTLTYP, 5656577]
[paragraph, [113.0, 2018.0, 1405.0, 36.0], shoonya_5sQZCVQNJTLTYP, 5656577]
