[4767, 3325]
[folio, [264.0, 478.0, 897.0, 52.5], kkt8E6PUhh, 5709610]
[folio, [264.0, 530.5, 897.0, 52.5], kkt8E6PUhh, 5709610]
[paragraph, [303.0, 649.0, 329.0, 52.5], shoonya_1sSU0USQJIYCG3, 5709610]
[paragraph, [303.0, 701.5, 329.0, 52.5], shoonya_1sSU0USQJIYCG3, 5709610]
[paragraph, [306.0, 746.0, 2356.0, 52.5], uInsW0N_IQ, 5709610]
[paragraph, [306.0, 798.5, 2356.0, 52.5], uInsW0N_IQ, 5709610]
[paragraph, [306.0, 851.0, 2356.0, 52.5], uInsW0N_IQ, 5709610]
[paragraph, [306.0, 903.5, 2356.0, 52.5], uInsW0N_IQ, 5709610]
[paragraph, [306.0, 956.0, 2356.0, 52.5], uInsW0N_IQ, 5709610]
[paragraph, [331.0, 1015.0, 2318.0, 52.5], HSjOyEqG_1, 5709610]
[paragraph, [331.0, 1067.5, 2318.0, 52.5], HSjOyEqG_1, 5709610]
[paragraph, [331.0, 1120.0, 2318.0, 52.5], HSjOyEqG_1, 5709610]
[paragraph, [331.0, 1172.5, 2318.0, 52.5], HSjOyEqG_1, 5709610]
[paragraph, [331.0, 1225.0, 2318.0, 52.5], HSjOyEqG_1, 5709610]
[paragraph, [331.0, 1277.5, 2318.0, 52.5], HSjOyEqG_1, 5709610]
[paragraph, [293.0, 1372.0, 2339.0, 52.5], uDbgBpk4al, 5709610]
[paragraph, [293.0, 1424.5, 2339.0, 52.5], uDbgBpk4al, 5709610]
[paragraph, [293.0, 1477.0, 2339.0, 52.5], uDbgBpk4al, 5709610]
[paragraph, [293.0, 1529.5, 2339.0, 52.5], uDbgBpk4al, 5709610]
[paragraph, [322.0, 1632.0, 2314.0, 52.5], ZWgeU7O9vX, 5709610]
[paragraph, [322.0, 1684.5, 2314.0, 52.5], ZWgeU7O9vX, 5709610]
[paragraph, [322.0, 1737.0, 2314.0, 52.5], ZWgeU7O9vX, 5709610]
[paragraph, [322.0, 1789.5, 2314.0, 52.5], ZWgeU7O9vX, 5709610]
[paragraph, [498.0, 1879.0, 1127.0, 52.5], 6paYsDhRXf, 5709610]
[paragraph, [306.0, 1976.0, 2356.0, 52.5], Q8IdLhBzcj, 5709610]
[paragraph, [306.0, 2028.5, 2356.0, 52.5], Q8IdLhBzcj, 5709610]
[paragraph, [306.0, 2081.0, 2356.0, 52.5], Q8IdLhBzcj, 5709610]
[paragraph, [306.0, 2133.5, 2356.0, 52.5], Q8IdLhBzcj, 5709610]
[paragraph, [306.0, 2186.0, 2356.0, 52.5], Q8IdLhBzcj, 5709610]
[paragraph, [306.0, 2238.5, 2356.0, 52.5], Q8IdLhBzcj, 5709610]
[paragraph, [310.0, 2349.0, 2327.0, 52.5], dePFQNTh84, 5709610]
[paragraph, [310.0, 2401.5, 2327.0, 52.5], dePFQNTh84, 5709610]
[paragraph, [310.0, 2454.0, 2327.0, 52.5], dePFQNTh84, 5709610]
[paragraph, [310.0, 2506.5, 2327.0, 52.5], dePFQNTh84, 5709610]
[paragraph, [331.0, 2601.0, 2276.0, 52.5], AzD6ESosgC, 5709610]
[paragraph, [331.0, 2653.5, 2276.0, 52.5], AzD6ESosgC, 5709610]
[paragraph, [331.0, 2706.0, 2276.0, 52.5], AzD6ESosgC, 5709610]
[paragraph, [331.0, 2758.5, 2276.0, 52.5], AzD6ESosgC, 5709610]
[paragraph, [515.0, 2849.0, 1916.0, 52.5], K94HEsxWdz, 5709610]
[paragraph, [515.0, 2901.5, 1916.0, 52.5], K94HEsxWdz, 5709610]
[paragraph, [293.0, 3071.0, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3123.5, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3176.0, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3228.5, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3281.0, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3333.5, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3386.0, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3438.5, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [293.0, 3491.0, 2352.0, 52.5], 5SeGsLtlMs, 5709610]
[paragraph, [314.0, 3575.0, 2314.0, 52.5], sWjN_j0-Q5, 5709610]
[paragraph, [314.0, 3627.5, 2314.0, 52.5], sWjN_j0-Q5, 5709610]
[paragraph, [314.0, 3680.0, 2314.0, 52.5], sWjN_j0-Q5, 5709610]
[paragraph, [314.0, 3732.5, 2314.0, 52.5], sWjN_j0-Q5, 5709610]
[paragraph, [306.0, 3814.0, 2364.0, 52.5], 6VMi4Wvh8D, 5709610]
[paragraph, [306.0, 3866.5, 2364.0, 52.5], 6VMi4Wvh8D, 5709610]
[paragraph, [306.0, 3919.0, 2364.0, 52.5], 6VMi4Wvh8D, 5709610]
[paragraph, [306.0, 3971.5, 2364.0, 52.5], 6VMi4Wvh8D, 5709610]
[paragraph, [306.0, 4024.0, 2364.0, 52.5], 6VMi4Wvh8D, 5709610]
[paragraph, [306.0, 4076.5, 2364.0, 52.5], 6VMi4Wvh8D, 5709610]
