[2339, 1656]
[paragraph, [256.0, 158.0, 1220.0, 36.0], shoonya_3sAFIJ433SLE7A, 5749342]
[paragraph, [256.0, 194.0, 1220.0, 36.0], shoonya_3sAFIJ433SLE7A, 5749342]
[paragraph, [256.0, 230.0, 1220.0, 36.0], shoonya_3sAFIJ433SLE7A, 5749342]
[paragraph, [257.0, 307.0, 1220.0, 36.0], shoonya_8sRP98B1IALD2Y, 5749342]
[paragraph, [257.0, 343.0, 1220.0, 36.0], shoonya_8sRP98B1IALD2Y, 5749342]
[paragraph, [257.0, 379.0, 1220.0, 36.0], shoonya_8sRP98B1IALD2Y, 5749342]
[paragraph, [257.0, 415.0, 1220.0, 36.0], shoonya_8sRP98B1IALD2Y, 5749342]
[paragraph, [257.0, 451.0, 1220.0, 36.0], shoonya_8sRP98B1IALD2Y, 5749342]
[paragraph, [257.0, 487.0, 1220.0, 36.0], shoonya_8sRP98B1IALD2Y, 5749342]
[paragraph, [257.0, 523.0, 1220.0, 36.0], shoonya_8sRP98B1IALD2Y, 5749342]
[paragraph, [530.0, 589.0, 680.0, 36.0], shoonya_7sI739WZQJTDO0, 5749342]
[paragraph, [262.0, 665.0, 1222.0, 36.0], shoonya_2s7AXS2TGA1NKK, 5749342]
[paragraph, [262.0, 701.0, 1222.0, 36.0], shoonya_2s7AXS2TGA1NKK, 5749342]
[paragraph, [262.0, 737.0, 1222.0, 36.0], shoonya_2s7AXS2TGA1NKK, 5749342]
[paragraph, [262.0, 773.0, 1222.0, 36.0], shoonya_2s7AXS2TGA1NKK, 5749342]
[paragraph, [262.0, 809.0, 1222.0, 36.0], shoonya_2s7AXS2TGA1NKK, 5749342]
[paragraph, [263.0, 877.0, 1219.0, 36.0], shoonya_0s1E1Q44EXZELQ, 5749342]
[paragraph, [263.0, 913.0, 1219.0, 36.0], shoonya_0s1E1Q44EXZELQ, 5749342]
[paragraph, [263.0, 949.0, 1219.0, 36.0], shoonya_0s1E1Q44EXZELQ, 5749342]
[paragraph, [267.0, 1024.0, 1218.0, 36.0], shoonya_1sB4DCKX7VLE2V, 5749342]
[paragraph, [267.0, 1060.0, 1218.0, 36.0], shoonya_1sB4DCKX7VLE2V, 5749342]
[paragraph, [267.0, 1096.0, 1218.0, 36.0], shoonya_1sB4DCKX7VLE2V, 5749342]
[paragraph, [261.0, 1167.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1203.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1239.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1275.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1311.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1347.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1383.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1419.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1455.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1491.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1527.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1563.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1599.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [261.0, 1635.0, 1222.0, 36.0], shoonya_6sZ4IIXVY2GI8Y, 5749342]
[paragraph, [272.0, 1717.0, 1211.0, 36.0], shoonya_4s3RHBCOFZM82O, 5749342]
[paragraph, [272.0, 1753.0, 1211.0, 36.0], shoonya_4s3RHBCOFZM82O, 5749342]
[paragraph, [272.0, 1789.0, 1211.0, 36.0], shoonya_4s3RHBCOFZM82O, 5749342]
[paragraph, [272.0, 1865.0, 1223.0, 36.0], shoonya_9sIWU2WT95F50O, 5749342]
[paragraph, [272.0, 1901.0, 1223.0, 36.0], shoonya_9sIWU2WT95F50O, 5749342]
[paragraph, [272.0, 1937.0, 1223.0, 36.0], shoonya_9sIWU2WT95F50O, 5749342]
[paragraph, [271.0, 2003.0, 1157.0, 36.0], y-R1xgNzxL, 5749342]
[paragraph, [271.0, 2039.0, 1157.0, 36.0], y-R1xgNzxL, 5749342]
[paragraph, [662.0, 2086.0, 438.0, 36.0], rgiBO3yq2q, 5749342]
[paragraph, [662.0, 2122.0, 438.0, 36.0], rgiBO3yq2q, 5749342]
[paragraph, [662.0, 2158.0, 438.0, 36.0], rgiBO3yq2q, 5749342]
[paragraph, [273.0, 2092.0, 173.0, 36.0], Z9Tqe37FNk, 5749342]
