[1755, 1240]
[paragraph, [173.0, 193.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 229.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 265.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 301.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 337.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 373.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 409.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 445.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 481.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[paragraph, [173.0, 517.0, 888.0, 36.0], shoonya_5sTY7J65ZQN7BR, 5703433]
[section-title, [183.0, 696.0, 194.0, 49.5], shoonya_2sFIHKU3BKI863, 5703433]
[paragraph, [177.0, 788.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 824.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 860.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 896.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 932.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 968.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1004.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1040.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1076.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1112.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1148.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1184.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1220.0, 883.0, 36.0], shoonya_0sYT7UXLRSG5OS, 5703433]
[paragraph, [177.0, 1324.0, 886.0, 36.0], shoonya_1sUGDE2G2NEP5V, 5703433]
[paragraph, [177.0, 1360.0, 886.0, 36.0], shoonya_1sUGDE2G2NEP5V, 5703433]
[paragraph, [177.0, 1396.0, 886.0, 36.0], shoonya_1sUGDE2G2NEP5V, 5703433]
[paragraph, [177.0, 1432.0, 886.0, 36.0], shoonya_1sUGDE2G2NEP5V, 5703433]
[paragraph, [177.0, 1468.0, 886.0, 36.0], shoonya_1sUGDE2G2NEP5V, 5703433]
