[872, 605]
[section-title, [262.0, 32.0, 76.0, 30.0], dWuJfZYQIE, 6456933]
[folio, [485.0, 32.0, 68.0, 18.0], cK0VW1UudX, 6456933]
[paragraph, [49.0, 74.0, 244.0, 18.0], qM5d22uKjP, 6456933]
[paragraph, [49.0, 92.0, 244.0, 18.0], qM5d22uKjP, 6456933]
[paragraph, [304.0, 76.0, 220.0, 18.0], Ojh-SyrF8a, 6456933]
[paragraph, [305.0, 97.0, 245.0, 18.0], ZsETK8nlc-, 6456933]
[paragraph, [305.0, 115.0, 245.0, 18.0], ZsETK8nlc-, 6456933]
[paragraph, [63.0, 110.0, 205.0, 18.0], 1njC_fFrM2, 6456933]
[paragraph, [54.0, 127.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 145.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 163.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 181.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 199.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 217.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 235.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 253.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 271.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 289.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [54.0, 307.0, 244.0, 18.0], WJEjo_NLqD, 6456933]
[paragraph, [305.0, 137.0, 245.0, 18.0], -4uDU5iBwR, 6456933]
[paragraph, [304.0, 172.0, 241.0, 18.0], HeMSgjZYcd, 6456933]
[paragraph, [304.0, 191.0, 247.0, 18.0], YfMzLCHveO, 6456933]
[paragraph, [304.0, 209.0, 247.0, 18.0], YfMzLCHveO, 6456933]
[paragraph, [303.0, 227.0, 232.0, 18.0], E-H2ZybUsk, 6456933]
[paragraph, [303.0, 245.0, 232.0, 18.0], E-H2ZybUsk, 6456933]
[paragraph, [305.0, 263.0, 213.0, 18.0], uP3R5d0ChQ, 6456933]
[paragraph, [302.0, 283.0, 248.0, 18.0], sR5zULXkfk, 6456933]
[paragraph, [302.0, 301.0, 248.0, 18.0], sR5zULXkfk, 6456933]
[paragraph, [302.0, 319.0, 248.0, 18.0], sR5zULXkfk, 6456933]
[paragraph, [302.0, 337.0, 248.0, 18.0], sR5zULXkfk, 6456933]
[paragraph, [302.0, 355.0, 248.0, 18.0], sR5zULXkfk, 6456933]
[paragraph, [302.0, 373.0, 248.0, 18.0], sR5zULXkfk, 6456933]
