[1654, 1300]
[section-title, [101.0, 93.0, 1090.0, 49.5], shoonya_0sSCZTH48AYNIT, 5713073]
[sub-section-title, [396.0, 173.0, 491.0, 36.0], _7PWXRgIU8, 5713073]
[paragraph, [86.0, 213.0, 1113.0, 36.0], 6k9w9oDF-N, 5713073]
[contact-info, [304.0, 337.0, 611.0, 36.0], u9LLrUyUHW, 5713073]
[contact-info, [304.0, 373.0, 611.0, 36.0], u9LLrUyUHW, 5713073]
[contact-info, [426.0, 465.0, 678.0, 36.0], XqQpY9wN_-, 5713073]
[contact-info, [426.0, 501.0, 678.0, 36.0], XqQpY9wN_-, 5713073]
[contact-info, [426.0, 537.0, 678.0, 36.0], XqQpY9wN_-, 5713073]
[sub-section-title, [409.0, 691.0, 473.0, 36.0], OZfthDFnCn, 5713073]
[folio, [396.0, 808.0, 485.0, 36.0], bj0orouedf, 5713073]
[folio, [177.0, 931.0, 932.0, 36.0], pHA1CvJHHo, 5713073]
[folio, [177.0, 967.0, 932.0, 36.0], pHA1CvJHHo, 5713073]
[folio, [177.0, 1003.0, 932.0, 36.0], pHA1CvJHHo, 5713073]
[folio, [177.0, 1039.0, 932.0, 36.0], pHA1CvJHHo, 5713073]
[jumpline, [82.0, 1098.0, 180.0, 36.0], shoonya_2sB4GRUS9CHEIR, 5713073]
[paragraph, [90.0, 1132.0, 1118.0, 36.0], Rd_ZVlttxD, 5713073]
[paragraph, [90.0, 1168.0, 1118.0, 36.0], Rd_ZVlttxD, 5713073]
[paragraph, [90.0, 1204.0, 1118.0, 36.0], Rd_ZVlttxD, 5713073]
[paragraph, [95.0, 1255.0, 1113.0, 36.0], shoonya_1sBR0BGKQ4B39E, 5713073]
[paragraph, [95.0, 1291.0, 1113.0, 36.0], shoonya_1sBR0BGKQ4B39E, 5713073]
[paragraph, [95.0, 1327.0, 1113.0, 36.0], shoonya_1sBR0BGKQ4B39E, 5713073]
[paragraph, [95.0, 1363.0, 1113.0, 36.0], shoonya_1sBR0BGKQ4B39E, 5713073]
[paragraph, [95.0, 1399.0, 1113.0, 36.0], shoonya_1sBR0BGKQ4B39E, 5713073]
[paragraph, [95.0, 1435.0, 1113.0, 36.0], shoonya_1sBR0BGKQ4B39E, 5713073]
