[2200, 1700]
[ordered-list, [325.0, 152.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 188.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 224.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 260.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 296.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 332.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 368.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 404.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 440.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[ordered-list, [325.0, 476.0, 993.0, 36.0], shoonya_4s14UCYVD9AETZ, 5749896]
[section-title, [202.0, 572.0, 1129.0, 52.5], 3fQ3Vo8gBu, 5749896]
[section-title, [202.0, 624.5, 1129.0, 52.5], 3fQ3Vo8gBu, 5749896]
[ordered-list, [333.0, 738.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 774.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 810.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 846.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 882.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 918.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 954.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 990.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1026.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1062.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1098.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1134.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1170.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1206.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1242.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[ordered-list, [333.0, 1278.0, 990.0, 36.0], shoonya_2sYMCMYPPAW31O, 5749896]
[footnote, [169.0, 1414.0, 1158.0, 36.0], shoonya_0s8QOIEMLB2S8C, 5749896]
[footnote, [169.0, 1450.0, 1158.0, 36.0], shoonya_0s8QOIEMLB2S8C, 5749896]
[footnote, [169.0, 1486.0, 1158.0, 36.0], shoonya_0s8QOIEMLB2S8C, 5749896]
