[1754, 1241]
[paragraph, [152.0, 82.0, 876.0, 36.0], V_msc_AnRz, 6476168]
[paragraph, [152.0, 118.0, 876.0, 36.0], V_msc_AnRz, 6476168]
[paragraph, [153.0, 167.0, 874.0, 36.0], Z3V2380kWk, 6476168]
[paragraph, [153.0, 203.0, 874.0, 36.0], Z3V2380kWk, 6476168]
[paragraph, [153.0, 239.0, 874.0, 36.0], Z3V2380kWk, 6476168]
[paragraph, [153.0, 275.0, 874.0, 36.0], Z3V2380kWk, 6476168]
[paragraph, [153.0, 322.0, 876.0, 36.0], LqmY_6KZbc, 6476168]
[paragraph, [153.0, 358.0, 876.0, 36.0], LqmY_6KZbc, 6476168]
[second-level-question, [170.0, 1014.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1050.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1086.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1122.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1158.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1194.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1230.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1266.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1302.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[second-level-question, [170.0, 1338.0, 680.0, 36.0], PTwGcAbSFZ, 6476168]
[third-level-question, [223.0, 1018.0, 591.0, 18.0], CwB9C8El23, 6476168]
[third-level-question, [223.0, 1036.0, 591.0, 18.0], CwB9C8El23, 6476168]
[third-level-question, [223.0, 1054.0, 591.0, 18.0], CwB9C8El23, 6476168]
[third-level-question, [223.0, 1072.0, 591.0, 18.0], CwB9C8El23, 6476168]
[third-level-question, [224.0, 1107.0, 618.0, 18.0], nQKZLASshF, 6476168]
[third-level-question, [224.0, 1125.0, 618.0, 18.0], nQKZLASshF, 6476168]
[third-level-question, [224.0, 1143.0, 618.0, 18.0], nQKZLASshF, 6476168]
[third-level-question, [224.0, 1161.0, 618.0, 18.0], nQKZLASshF, 6476168]
[third-level-question, [226.0, 1212.0, 611.0, 18.0], 4ehQRg8X1o, 6476168]
[third-level-question, [226.0, 1230.0, 611.0, 18.0], 4ehQRg8X1o, 6476168]
[third-level-question, [226.0, 1248.0, 611.0, 18.0], 4ehQRg8X1o, 6476168]
[third-level-question, [226.0, 1266.0, 611.0, 18.0], 4ehQRg8X1o, 6476168]
[third-level-question, [223.0, 1301.0, 510.0, 18.0], ZUWJgijVdv, 6476168]
[third-level-question, [223.0, 1319.0, 510.0, 18.0], ZUWJgijVdv, 6476168]
[third-level-question, [223.0, 1337.0, 510.0, 18.0], ZUWJgijVdv, 6476168]
[third-level-question, [223.0, 1355.0, 510.0, 18.0], ZUWJgijVdv, 6476168]
