[1755, 1241]
[reference, [100.0, 103.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 139.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 175.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 211.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 247.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 283.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 319.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 355.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 391.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 427.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 463.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 499.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 535.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 571.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 607.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 643.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 679.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 715.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 751.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 787.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 823.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 859.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 895.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 931.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 967.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1003.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1039.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1075.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1111.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1147.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1183.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1219.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1255.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1291.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
[reference, [100.0, 1327.0, 1090.0, 36.0], shoonya_0sJTDTOIGD5SZ4, 5781440]
