[1447, 1063]
[folio, [427.0, 54.0, 200.0, 18.0], shoonya_6sBN2QLX0RUV14, 5763135]
[paragraph, [90.0, 93.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 111.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 129.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 147.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 165.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 183.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 201.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 219.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 237.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 255.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 273.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 291.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 309.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 327.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 345.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 363.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 381.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 399.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 417.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 435.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 453.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [90.0, 471.0, 437.0, 18.0], shoonya_1s9APZ3PG4FOYR, 5763135]
[paragraph, [531.0, 94.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 112.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 130.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 148.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 166.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 184.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 202.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 220.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 238.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 256.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 274.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 292.0, 442.0, 18.0], m-SramCx_G, 5763135]
[paragraph, [531.0, 310.0, 442.0, 18.0], m-SramCx_G, 5763135]
[website-link, [128.0, 95.0, 154.0, 18.0], _0AEGC6Hhz, 5763135]
[section-title, [90.0, 518.0, 372.0, 30.0], shoonya_9sRWOQH4435IO5, 5763135]
[section-title, [90.0, 548.0, 372.0, 30.0], shoonya_9sRWOQH4435IO5, 5763135]
[paragraph, [92.0, 608.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 626.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 644.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 662.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 680.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 698.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 716.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 734.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 752.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 770.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 788.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 806.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 824.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 842.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 860.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 878.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 896.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 914.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 932.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [92.0, 950.0, 436.0, 18.0], shoonya_8sLXEWH9JSGFLQ, 5763135]
[paragraph, [531.0, 650.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 668.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 686.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 704.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 722.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 740.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 758.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 776.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
[paragraph, [531.0, 794.0, 435.0, 18.0], E8KW2zuR3a, 5763135]
