[792, 612]
[folio, [79.0, 37.0, 122.0, 18.0], yDBEwwrJkI, 6491032]
[paragraph, [36.0, 67.0, 263.0, 18.0], shoonya_0sQFVFP1EWATNX, 6491032]
[paragraph, [36.0, 85.0, 263.0, 18.0], shoonya_0sQFVFP1EWATNX, 6491032]
[paragraph, [36.0, 103.0, 263.0, 18.0], shoonya_0sQFVFP1EWATNX, 6491032]
[paragraph, [36.0, 121.0, 263.0, 18.0], shoonya_0sQFVFP1EWATNX, 6491032]
[paragraph, [36.0, 139.0, 263.0, 18.0], shoonya_0sQFVFP1EWATNX, 6491032]
[paragraph, [303.0, 68.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 86.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 104.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 122.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 140.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 158.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 176.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 194.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 212.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 230.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 248.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 266.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 284.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 302.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 320.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 338.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 356.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 374.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 392.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 410.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 428.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [303.0, 446.0, 255.0, 18.0], ndhFRlljow, 6491032]
[paragraph, [36.0, 164.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 182.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 200.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 218.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 236.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 254.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 272.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 290.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 308.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [36.0, 326.0, 262.0, 18.0], 39coo7OWF8, 6491032]
[paragraph, [35.0, 356.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 374.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 392.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 410.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 428.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 446.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 464.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 482.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 500.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 518.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 536.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [35.0, 554.0, 263.0, 18.0], O2nP9kXTBd, 6491032]
[paragraph, [301.0, 472.0, 257.0, 18.0], 5vtbaExtln, 6491032]
[paragraph, [301.0, 490.0, 257.0, 18.0], 5vtbaExtln, 6491032]
[paragraph, [301.0, 508.0, 257.0, 18.0], 5vtbaExtln, 6491032]
[paragraph, [301.0, 526.0, 257.0, 18.0], 5vtbaExtln, 6491032]
[paragraph, [301.0, 544.0, 257.0, 18.0], 5vtbaExtln, 6491032]
