[2278, 1778]
[folio, [1329.0, 144.0, 275.0, 36.0], jPh0HGYcRY, 5755424]
[folio, [288.0, 222.0, 253.0, 36.0], XjIPfufxkO, 5755424]
[folio, [288.0, 258.0, 253.0, 36.0], XjIPfufxkO, 5755424]
[folio, [1329.0, 237.0, 219.0, 36.0], XUT3eW5fdi, 5755424]
[folio, [1329.0, 273.0, 219.0, 36.0], XUT3eW5fdi, 5755424]
[section-title, [803.0, 257.0, 257.0, 52.5], bftAifdnXF, 5755424]
[second-level-question, [190.0, 481.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 517.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 553.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 589.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 625.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 661.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 697.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 733.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 769.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 805.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 841.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 877.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 913.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 949.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 985.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 1021.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 1057.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 1093.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 1129.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [190.0, 1165.0, 654.0, 36.0], ByNhhPm26g, 5755424]
[second-level-question, [899.0, 484.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 520.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 556.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 592.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 628.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 664.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 700.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 736.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 772.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 808.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 844.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 880.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 916.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 952.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 988.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 1024.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 1060.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 1096.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 1132.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[second-level-question, [899.0, 1168.0, 701.0, 36.0], AH4bYksaHJ, 5755424]
[options, [299.0, 610.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 646.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 682.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 718.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 754.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 790.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 826.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 862.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 898.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 934.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 970.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 1006.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 1042.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 1078.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 1114.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[options, [299.0, 1150.0, 514.0, 36.0], eYSSJ7wuTz, 5755424]
[placeholder-text, [563.0, 612.0, 226.0, 18.0], daR8H2dqZm, 5755424]
[placeholder-text, [563.0, 630.0, 226.0, 18.0], daR8H2dqZm, 5755424]
[placeholder-text, [563.0, 648.0, 226.0, 18.0], daR8H2dqZm, 5755424]
[placeholder-text, [563.0, 666.0, 226.0, 18.0], daR8H2dqZm, 5755424]
[options, [918.0, 706.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 742.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 778.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 814.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 850.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 886.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 922.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 958.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 994.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 1030.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 1066.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 1102.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 1138.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[options, [918.0, 1174.0, 677.0, 36.0], zahT0C9hCd, 5755424]
[placeholder-text, [563.0, 772.0, 228.0, 18.0], UXq8nkN50C, 5755424]
[placeholder-text, [563.0, 790.0, 228.0, 18.0], UXq8nkN50C, 5755424]
[placeholder-text, [563.0, 808.0, 228.0, 18.0], UXq8nkN50C, 5755424]
[placeholder-text, [559.0, 910.0, 237.0, 18.0], UA45ZfcWOf, 5755424]
[placeholder-text, [559.0, 928.0, 237.0, 18.0], UA45ZfcWOf, 5755424]
[placeholder-text, [559.0, 946.0, 237.0, 18.0], UA45ZfcWOf, 5755424]
[placeholder-text, [559.0, 964.0, 237.0, 18.0], UA45ZfcWOf, 5755424]
[placeholder-text, [566.0, 1096.0, 228.0, 18.0], 7SmnVH3YoA, 5755424]
[placeholder-text, [566.0, 1114.0, 228.0, 18.0], 7SmnVH3YoA, 5755424]
[placeholder-text, [566.0, 1132.0, 228.0, 18.0], 7SmnVH3YoA, 5755424]
[placeholder-text, [927.0, 1287.0, 235.0, 18.0], CvQDEMGj5B, 5755424]
[options, [264.0, 1332.0, 1149.0, 36.0], YMliFwM2Ao, 5755424]
[placeholder-text, [792.0, 1449.0, 215.0, 18.0], hvJzqqDmak, 5755424]
[placeholder-text, [792.0, 1467.0, 215.0, 18.0], hvJzqqDmak, 5755424]
[options, [246.0, 1492.0, 1280.0, 36.0], S4A1XHE3U2, 5755424]
[options, [572.0, 1669.0, 892.0, 36.0], 3OFo2QtOAx, 5755424]
[options, [1296.0, 1856.0, 133.0, 36.0], _lBlx_jgOa, 5755424]
[options, [1296.0, 1892.0, 133.0, 36.0], _lBlx_jgOa, 5755424]
[options, [1296.0, 1928.0, 133.0, 36.0], _lBlx_jgOa, 5755424]
[options, [1296.0, 1964.0, 133.0, 36.0], _lBlx_jgOa, 5755424]
[options, [1296.0, 2000.0, 133.0, 36.0], _lBlx_jgOa, 5755424]
[folio, [506.0, 2091.0, 807.0, 36.0], AAsAT-JaNz, 5755424]
