[2200, 1700]
[answer, [140.0, 305.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 341.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 377.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 413.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 449.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 485.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 521.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 557.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 593.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [140.0, 629.0, 657.0, 36.0], shoonya_7sIWMLS44ZBPXL, 5752522]
[answer, [893.0, 395.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 431.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 467.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 503.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 539.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 575.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 611.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 647.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 683.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 719.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 755.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 791.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 827.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 863.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [893.0, 899.0, 689.0, 36.0], f8qOADrtDQ, 5752522]
[answer, [144.0, 848.0, 652.0, 36.0], FC4EHzb92q, 5752522]
[answer, [144.0, 884.0, 652.0, 36.0], FC4EHzb92q, 5752522]
[answer, [144.0, 920.0, 652.0, 36.0], FC4EHzb92q, 5752522]
[answer, [144.0, 956.0, 652.0, 36.0], FC4EHzb92q, 5752522]
[answer, [903.0, 1060.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1096.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1132.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1168.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1204.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1240.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1276.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1312.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [903.0, 1348.0, 656.0, 36.0], bntZcLSUQI, 5752522]
[answer, [142.0, 1107.0, 656.0, 36.0], ELwg9dE9yU, 5752522]
[answer, [142.0, 1143.0, 656.0, 36.0], ELwg9dE9yU, 5752522]
[answer, [142.0, 1179.0, 656.0, 36.0], ELwg9dE9yU, 5752522]
[answer, [140.0, 1360.0, 656.0, 36.0], n1t1FoAvAc, 5752522]
[answer, [140.0, 1396.0, 656.0, 36.0], n1t1FoAvAc, 5752522]
[answer, [140.0, 1432.0, 656.0, 36.0], n1t1FoAvAc, 5752522]
[answer, [892.0, 1528.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [892.0, 1564.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [892.0, 1600.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [892.0, 1636.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [892.0, 1672.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [892.0, 1708.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [892.0, 1744.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [892.0, 1780.0, 667.0, 36.0], BMDLRc8iWh, 5752522]
[answer, [133.0, 1617.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
[answer, [133.0, 1653.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
[answer, [133.0, 1689.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
[answer, [133.0, 1725.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
[answer, [133.0, 1761.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
[answer, [133.0, 1797.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
[answer, [133.0, 1833.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
[answer, [133.0, 1869.0, 669.0, 36.0], zqbJcMtRxY, 5752522]
