[596, 842]
[folio, [27.0, 11.0, 92.0, 18.0], shoonya_0sI6QJ80B6OYZA, 5782060]
[folio, [27.0, 29.0, 92.0, 18.0], shoonya_0sI6QJ80B6OYZA, 5782060]
[paragraph, [37.0, 64.0, 367.0, 18.0], w5LtvBQDQV, 5782060]
[paragraph, [37.0, 82.0, 367.0, 18.0], w5LtvBQDQV, 5782060]
[paragraph, [37.0, 100.0, 367.0, 18.0], w5LtvBQDQV, 5782060]
[paragraph, [426.0, 97.0, 368.0, 18.0], cdoGMWD5ef, 5782060]
[paragraph, [426.0, 115.0, 368.0, 18.0], cdoGMWD5ef, 5782060]
[paragraph, [426.0, 133.0, 368.0, 18.0], cdoGMWD5ef, 5782060]
[ordered-list, [32.0, 142.0, 355.0, 18.0], Tc8OHTT0Xy, 5782060]
[ordered-list, [32.0, 160.0, 355.0, 18.0], Tc8OHTT0Xy, 5782060]
[ordered-list, [32.0, 178.0, 355.0, 18.0], Tc8OHTT0Xy, 5782060]
[paragraph, [420.0, 158.0, 372.0, 18.0], FejgkMYNNf, 5782060]
[paragraph, [420.0, 176.0, 372.0, 18.0], FejgkMYNNf, 5782060]
[paragraph, [420.0, 194.0, 372.0, 18.0], FejgkMYNNf, 5782060]
[paragraph, [420.0, 212.0, 372.0, 18.0], FejgkMYNNf, 5782060]
[paragraph, [82.0, 206.0, 335.0, 18.0], 3bR3KMPAVZ, 5782060]
[paragraph, [82.0, 224.0, 335.0, 18.0], 3bR3KMPAVZ, 5782060]
[paragraph, [82.0, 242.0, 335.0, 18.0], 3bR3KMPAVZ, 5782060]
[paragraph, [82.0, 260.0, 335.0, 18.0], 3bR3KMPAVZ, 5782060]
[paragraph, [82.0, 278.0, 335.0, 18.0], 3bR3KMPAVZ, 5782060]
[paragraph, [82.0, 301.0, 335.0, 18.0], ekwozJ5XPu, 5782060]
[paragraph, [82.0, 319.0, 335.0, 18.0], ekwozJ5XPu, 5782060]
[paragraph, [82.0, 337.0, 335.0, 18.0], ekwozJ5XPu, 5782060]
[paragraph, [82.0, 355.0, 335.0, 18.0], ekwozJ5XPu, 5782060]
