[1300, 900]
[folio, [353.0, 48.0, 198.0, 18.0], shoonya_0s2JYSSH1E168D, 5731409]
[paragraph, [92.0, 112.0, 707.0, 18.0], shoonya_5sKXF1GFSSJR1H, 5731409]
[paragraph, [92.0, 130.0, 707.0, 18.0], shoonya_5sKXF1GFSSJR1H, 5731409]
[paragraph, [92.0, 148.0, 707.0, 18.0], shoonya_5sKXF1GFSSJR1H, 5731409]
[paragraph, [92.0, 166.0, 707.0, 18.0], shoonya_5sKXF1GFSSJR1H, 5731409]
[paragraph, [83.0, 197.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 215.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 233.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 251.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 269.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 287.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 305.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 323.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 341.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 359.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 377.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 395.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 413.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 431.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 449.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 467.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 485.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [83.0, 503.0, 725.0, 18.0], shoonya_1s8IDGDBG011QI, 5731409]
[paragraph, [84.0, 536.0, 711.0, 18.0], shoonya_4sK0YO3BHPK2LY, 5731409]
[paragraph, [84.0, 554.0, 711.0, 18.0], shoonya_4sK0YO3BHPK2LY, 5731409]
[paragraph, [84.0, 572.0, 711.0, 18.0], shoonya_4sK0YO3BHPK2LY, 5731409]
[paragraph, [84.0, 590.0, 711.0, 18.0], shoonya_4sK0YO3BHPK2LY, 5731409]
[paragraph, [84.0, 608.0, 711.0, 18.0], shoonya_4sK0YO3BHPK2LY, 5731409]
[paragraph, [84.0, 626.0, 711.0, 18.0], shoonya_4sK0YO3BHPK2LY, 5731409]
[paragraph, [84.0, 644.0, 711.0, 18.0], shoonya_4sK0YO3BHPK2LY, 5731409]
[paragraph, [176.0, 668.0, 254.0, 18.0], 5UXKCULEkk, 5731409]
[paragraph, [176.0, 686.0, 254.0, 18.0], 5UXKCULEkk, 5731409]
[paragraph, [671.0, 674.0, 132.0, 18.0], -IamXizLMV, 5731409]
[paragraph, [186.0, 710.0, 532.0, 18.0], EPdomtboow, 5731409]
[paragraph, [186.0, 728.0, 532.0, 18.0], EPdomtboow, 5731409]
[paragraph, [673.0, 754.0, 140.0, 18.0], 9KvmbOlfnp, 5731409]
[paragraph, [673.0, 772.0, 140.0, 18.0], 9KvmbOlfnp, 5731409]
[paragraph, [176.0, 755.0, 240.0, 18.0], 9rrHef30DV, 5731409]
[paragraph, [176.0, 773.0, 240.0, 18.0], 9rrHef30DV, 5731409]
[paragraph, [92.0, 797.0, 710.0, 18.0], ByAewH-wUH, 5731409]
[paragraph, [92.0, 815.0, 710.0, 18.0], ByAewH-wUH, 5731409]
[paragraph, [92.0, 833.0, 710.0, 18.0], ByAewH-wUH, 5731409]
[paragraph, [92.0, 851.0, 710.0, 18.0], ByAewH-wUH, 5731409]
[paragraph, [185.0, 884.0, 450.0, 18.0], a_UK6oOdH_, 5731409]
[paragraph, [679.0, 931.0, 112.0, 18.0], shoonya_2s5X78WOCT20A4, 5731409]
[paragraph, [85.0, 968.0, 710.0, 18.0], hwTcIOqywE, 5731409]
[paragraph, [85.0, 986.0, 710.0, 18.0], hwTcIOqywE, 5731409]
[paragraph, [85.0, 1004.0, 710.0, 18.0], hwTcIOqywE, 5731409]
[paragraph, [85.0, 1022.0, 710.0, 18.0], hwTcIOqywE, 5731409]
[paragraph, [179.0, 1047.0, 310.0, 18.0], ulOVwe4Niq, 5731409]
[paragraph, [189.0, 1086.0, 459.0, 18.0], i5rmxJk_GH, 5731409]
[paragraph, [189.0, 1104.0, 459.0, 18.0], i5rmxJk_GH, 5731409]
[paragraph, [189.0, 1122.0, 459.0, 18.0], i5rmxJk_GH, 5731409]
[paragraph, [189.0, 1140.0, 459.0, 18.0], i5rmxJk_GH, 5731409]
[paragraph, [189.0, 1158.0, 459.0, 18.0], i5rmxJk_GH, 5731409]
[paragraph, [678.0, 1179.0, 112.0, 18.0], shoonya_3s5KQ6E03X65U2, 5731409]
[paragraph, [174.0, 1215.0, 624.0, 18.0], KHlGu7YqQY, 5731409]
[paragraph, [174.0, 1233.0, 624.0, 18.0], KHlGu7YqQY, 5731409]
