[1754, 1241]
[ordered-list, [189.0, 203.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 239.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 275.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 311.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 347.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 383.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 419.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 455.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 491.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 527.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 563.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 599.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 635.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 671.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[ordered-list, [189.0, 707.0, 564.0, 36.0], m25tlZTCPu, 5781484]
[sidebar, [967.0, 206.0, 124.0, 36.0], HAxKmIwxN2, 5781484]
[sub-ordered-list, [246.0, 237.0, 313.0, 36.0], cwn3KFWwix, 5781484]
[sub-ordered-list, [246.0, 273.0, 313.0, 36.0], cwn3KFWwix, 5781484]
[sidebar, [961.0, 348.0, 130.0, 36.0], LsKge9CXFO, 5781484]
[sub-ordered-list, [246.0, 381.0, 331.0, 36.0], DrvelcLros, 5781484]
[sub-ordered-list, [246.0, 417.0, 331.0, 36.0], DrvelcLros, 5781484]
[sidebar, [960.0, 493.0, 120.0, 36.0], tmOlWL9ypP, 5781484]
[sub-ordered-list, [246.0, 527.0, 294.0, 36.0], 6jRh3UMK1K, 5781484]
[sub-ordered-list, [246.0, 563.0, 294.0, 36.0], 6jRh3UMK1K, 5781484]
[sidebar, [963.0, 634.0, 119.0, 36.0], rCUNJ9gBnC, 5781484]
[sub-ordered-list, [243.0, 668.0, 223.0, 36.0], tUK5NHLlaW, 5781484]
[sub-ordered-list, [243.0, 704.0, 223.0, 36.0], tUK5NHLlaW, 5781484]
[sub-section-title, [207.0, 780.0, 165.0, 36.0], qejCoxkspW, 5781484]
[reference, [220.0, 832.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 868.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 904.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 940.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 976.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1012.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1048.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1084.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1120.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1156.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1192.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1228.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1264.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1300.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1336.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1372.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1408.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1444.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1480.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1516.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
[reference, [220.0, 1552.0, 934.0, 36.0], shoonya_0s7618WTZ6BGEU, 5781484]
