[1050, 693]
[folio, [83.0, 78.0, 88.0, 18.0], shoonya_0s2NF7YGMCX1P4, 5702545]
[folio, [83.0, 96.0, 88.0, 18.0], shoonya_0s2NF7YGMCX1P4, 5702545]
[paragraph, [83.0, 127.0, 529.0, 18.0], Y7uOu-Txqq, 5702545]
[paragraph, [83.0, 145.0, 529.0, 18.0], Y7uOu-Txqq, 5702545]
[paragraph, [83.0, 163.0, 529.0, 18.0], Y7uOu-Txqq, 5702545]
[paragraph, [83.0, 181.0, 529.0, 18.0], Y7uOu-Txqq, 5702545]
[paragraph, [83.0, 199.0, 529.0, 18.0], Y7uOu-Txqq, 5702545]
[paragraph, [83.0, 217.0, 529.0, 18.0], Y7uOu-Txqq, 5702545]
[paragraph, [83.0, 235.0, 529.0, 18.0], Y7uOu-Txqq, 5702545]
[paragraph, [133.0, 261.0, 416.0, 18.0], DBBF651Cqq, 5702545]
[paragraph, [86.0, 296.0, 524.0, 18.0], QSKIEewu6G, 5702545]
[paragraph, [86.0, 314.0, 524.0, 18.0], QSKIEewu6G, 5702545]
[paragraph, [86.0, 332.0, 524.0, 18.0], QSKIEewu6G, 5702545]
[paragraph, [80.0, 355.0, 531.0, 18.0], MWVdpPWPx9, 5702545]
[paragraph, [80.0, 373.0, 531.0, 18.0], MWVdpPWPx9, 5702545]
[paragraph, [80.0, 391.0, 531.0, 18.0], MWVdpPWPx9, 5702545]
[paragraph, [80.0, 409.0, 531.0, 18.0], MWVdpPWPx9, 5702545]
[paragraph, [80.0, 427.0, 531.0, 18.0], MWVdpPWPx9, 5702545]
[paragraph, [85.0, 450.0, 525.0, 18.0], Mgx8ql4MSC, 5702545]
[paragraph, [85.0, 468.0, 525.0, 18.0], Mgx8ql4MSC, 5702545]
[paragraph, [85.0, 486.0, 525.0, 18.0], Mgx8ql4MSC, 5702545]
[paragraph, [85.0, 504.0, 525.0, 18.0], Mgx8ql4MSC, 5702545]
[paragraph, [85.0, 522.0, 525.0, 18.0], Mgx8ql4MSC, 5702545]
[paragraph, [80.0, 558.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 576.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 594.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 612.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 630.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 648.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 666.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 684.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 702.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 720.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 738.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 756.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 774.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 792.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 810.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 828.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 846.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 864.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [80.0, 882.0, 529.0, 18.0], shoonya_1sJREEKFYYCCHY, 5702545]
[paragraph, [86.0, 915.0, 520.0, 18.0], nkWhBapbWr, 5702545]
[paragraph, [86.0, 933.0, 520.0, 18.0], nkWhBapbWr, 5702545]
[paragraph, [86.0, 951.0, 520.0, 18.0], nkWhBapbWr, 5702545]
