[1754, 1241]
[paragraph, [212.0, 143.0, 886.0, 36.0], shoonya_0s771C80CRTMIQ, 6470591]
[paragraph, [212.0, 179.0, 886.0, 36.0], shoonya_0s771C80CRTMIQ, 6470591]
[paragraph, [212.0, 215.0, 886.0, 36.0], shoonya_0s771C80CRTMIQ, 6470591]
[paragraph, [212.0, 251.0, 886.0, 36.0], shoonya_0s771C80CRTMIQ, 6470591]
[paragraph, [212.0, 287.0, 886.0, 36.0], shoonya_0s771C80CRTMIQ, 6470591]
[paragraph, [212.0, 458.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 494.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 530.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 566.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 602.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 638.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 674.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 710.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 746.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 782.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 818.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 854.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 890.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 926.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 962.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 998.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 1034.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 1070.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 1106.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [212.0, 1142.0, 893.0, 36.0], 8-EaGXj2Y9, 6470591]
[paragraph, [215.0, 1289.0, 884.0, 36.0], -v484kFaMR, 6470591]
[paragraph, [215.0, 1325.0, 884.0, 36.0], -v484kFaMR, 6470591]
[paragraph, [215.0, 1361.0, 884.0, 36.0], -v484kFaMR, 6470591]
[paragraph, [215.0, 1397.0, 884.0, 36.0], -v484kFaMR, 6470591]
[paragraph, [215.0, 1433.0, 884.0, 36.0], -v484kFaMR, 6470591]
[paragraph, [215.0, 1469.0, 884.0, 36.0], -v484kFaMR, 6470591]
