[1650, 1275]
[folio, [548.0, 140.0, 175.0, 36.0], Xkfk_DIs4y, 5706702]
[section-title, [410.0, 248.0, 451.0, 49.5], shoonya_0sZLI7VTXM78D3, 5706702]
[section-title, [410.0, 297.5, 451.0, 49.5], shoonya_0sZLI7VTXM78D3, 5706702]
[paragraph, [180.0, 359.0, 826.0, 36.0], H4yRrJg9LT, 5706702]
[ordered-list, [133.0, 412.0, 882.0, 36.0], w-p8iAOVZW, 5706702]
[ordered-list, [133.0, 448.0, 882.0, 36.0], w-p8iAOVZW, 5706702]
[ordered-list, [133.0, 484.0, 882.0, 36.0], w-p8iAOVZW, 5706702]
[ordered-list, [133.0, 520.0, 882.0, 36.0], w-p8iAOVZW, 5706702]
[ordered-list, [133.0, 556.0, 882.0, 36.0], w-p8iAOVZW, 5706702]
[ordered-list, [133.0, 592.0, 882.0, 36.0], w-p8iAOVZW, 5706702]
[ordered-list, [206.0, 709.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 745.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 781.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 817.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 853.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 889.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 925.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 961.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 997.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1033.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1069.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1105.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1141.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1177.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1213.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1249.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1285.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1321.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1357.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1393.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[ordered-list, [206.0, 1429.0, 786.0, 36.0], MxX_VU4w8N, 5706702]
[paragraph, [614.0, 1496.0, 149.0, 36.0], qXi8vmmkLM, 5706702]
