[2650, 2048]
[paragraph, [345.0, 412.0, 1668.0, 46.5], shoonya_0sU9A600TX03UC, 6474070]
[paragraph, [345.0, 458.5, 1668.0, 46.5], shoonya_0sU9A600TX03UC, 6474070]
[paragraph, [345.0, 505.0, 1668.0, 46.5], shoonya_0sU9A600TX03UC, 6474070]
[paragraph, [345.0, 551.5, 1668.0, 46.5], shoonya_0sU9A600TX03UC, 6474070]
[paragraph, [345.0, 598.0, 1668.0, 46.5], shoonya_0sU9A600TX03UC, 6474070]
[paragraph, [345.0, 644.5, 1668.0, 46.5], shoonya_0sU9A600TX03UC, 6474070]
[paragraph, [347.0, 801.0, 1671.0, 46.5], shoonya_3sGFLSEHJI63TP, 6474070]
[paragraph, [347.0, 847.5, 1671.0, 46.5], shoonya_3sGFLSEHJI63TP, 6474070]
[paragraph, [347.0, 894.0, 1671.0, 46.5], shoonya_3sGFLSEHJI63TP, 6474070]
[paragraph, [347.0, 940.5, 1671.0, 46.5], shoonya_3sGFLSEHJI63TP, 6474070]
[paragraph, [347.0, 987.0, 1671.0, 46.5], shoonya_3sGFLSEHJI63TP, 6474070]
[paragraph, [347.0, 1033.5, 1671.0, 46.5], shoonya_3sGFLSEHJI63TP, 6474070]
[paragraph, [343.0, 1203.0, 1676.0, 46.5], 5KO0Y2KDf4, 6474070]
[paragraph, [343.0, 1249.5, 1676.0, 46.5], 5KO0Y2KDf4, 6474070]
[paragraph, [343.0, 1296.0, 1676.0, 46.5], 5KO0Y2KDf4, 6474070]
[paragraph, [343.0, 1342.5, 1676.0, 46.5], 5KO0Y2KDf4, 6474070]
[paragraph, [343.0, 1389.0, 1676.0, 46.5], 5KO0Y2KDf4, 6474070]
[paragraph, [343.0, 1435.5, 1676.0, 46.5], 5KO0Y2KDf4, 6474070]
[paragraph, [345.0, 1687.0, 1674.0, 46.5], ONfgxJHAYr, 6474070]
[paragraph, [345.0, 1733.5, 1674.0, 46.5], ONfgxJHAYr, 6474070]
[paragraph, [345.0, 1780.0, 1674.0, 46.5], ONfgxJHAYr, 6474070]
[paragraph, [345.0, 1826.5, 1674.0, 46.5], ONfgxJHAYr, 6474070]
[paragraph, [345.0, 1873.0, 1674.0, 46.5], ONfgxJHAYr, 6474070]
[paragraph, [345.0, 1919.5, 1674.0, 46.5], ONfgxJHAYr, 6474070]
[paragraph, [345.0, 1966.0, 1674.0, 46.5], ONfgxJHAYr, 6474070]
[paragraph, [345.0, 2055.0, 1528.0, 46.5], pL3Ivbvg4h, 6474070]
[contact-info, [399.0, 2155.0, 885.0, 46.5], 6XR_V4fmSE, 6474070]
[contact-info, [399.0, 2201.5, 885.0, 46.5], 6XR_V4fmSE, 6474070]
[contact-info, [399.0, 2248.0, 885.0, 46.5], 6XR_V4fmSE, 6474070]
[contact-info, [399.0, 2294.5, 885.0, 46.5], 6XR_V4fmSE, 6474070]
[contact-info, [399.0, 2341.0, 885.0, 46.5], 6XR_V4fmSE, 6474070]
