[2481, 1654]
[folio, [330.0, 91.0, 140.0, 36.0], TGez83s8X8, 5721113]
[paragraph, [268.0, 211.0, 467.0, 36.0], _9iZze7UTB, 5721113]
[paragraph, [202.0, 275.0, 1296.0, 36.0], UdhKEVEmq0, 5721113]
[paragraph, [202.0, 311.0, 1296.0, 36.0], UdhKEVEmq0, 5721113]
[paragraph, [196.0, 374.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 410.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 446.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 482.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 518.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 554.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 590.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 626.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 662.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 698.0, 1300.0, 36.0], F7HevKcf_t, 5721113]
[paragraph, [196.0, 740.0, 1300.0, 36.0], HNphXUsY6h, 5721113]
[paragraph, [196.0, 776.0, 1300.0, 36.0], HNphXUsY6h, 5721113]
[paragraph, [192.0, 848.0, 1308.0, 36.0], yhAgZlDOvm, 5721113]
[paragraph, [192.0, 884.0, 1308.0, 36.0], yhAgZlDOvm, 5721113]
[paragraph, [194.0, 953.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 989.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1025.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1061.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1097.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1133.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1169.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1205.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1241.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1277.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1313.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1349.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1385.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1421.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1457.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1493.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1529.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1565.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1601.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1637.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1673.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1709.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1745.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [194.0, 1781.0, 1306.0, 36.0], KAHCT4DnBp, 5721113]
[paragraph, [274.0, 1839.0, 1219.0, 36.0], bK6HMPoNga, 5721113]
[paragraph, [219.0, 1889.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
[paragraph, [219.0, 1925.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
[paragraph, [219.0, 1961.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
[paragraph, [219.0, 1997.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
[paragraph, [219.0, 2033.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
[paragraph, [219.0, 2069.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
[paragraph, [219.0, 2105.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
[paragraph, [219.0, 2141.0, 1283.0, 36.0], MgqfluNA_O, 5721113]
