[1275, 750]
[folio, [233.0, 87.0, 276.0, 18.0], Vsj726tdut, 5767184]
[folio, [233.0, 105.0, 276.0, 18.0], Vsj726tdut, 5767184]
[paragraph, [74.0, 159.0, 598.0, 18.0], GYH8qlBn7v, 5767184]
[paragraph, [74.0, 177.0, 598.0, 18.0], GYH8qlBn7v, 5767184]
[paragraph, [74.0, 195.0, 598.0, 18.0], GYH8qlBn7v, 5767184]
[paragraph, [74.0, 213.0, 598.0, 18.0], GYH8qlBn7v, 5767184]
[paragraph, [74.0, 231.0, 598.0, 18.0], GYH8qlBn7v, 5767184]
[paragraph, [74.0, 249.0, 598.0, 18.0], GYH8qlBn7v, 5767184]
[paragraph, [74.0, 267.0, 598.0, 18.0], GYH8qlBn7v, 5767184]
[paragraph, [83.0, 321.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 339.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 357.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 375.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 393.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 411.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 429.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 447.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 465.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 483.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 501.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 519.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 537.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 555.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [83.0, 573.0, 522.0, 18.0], ulw1r9lpll, 5767184]
[paragraph, [292.0, 599.0, 382.0, 18.0], BtXXeqh86l, 5767184]
[paragraph, [292.0, 617.0, 382.0, 18.0], BtXXeqh86l, 5767184]
[paragraph, [78.0, 660.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 678.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 696.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 714.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 732.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 750.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 768.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 786.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 804.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 822.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 840.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 858.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 876.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 894.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 912.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 930.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 948.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 966.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 984.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1002.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1020.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1038.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1056.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1074.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1092.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1110.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1128.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1146.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
[paragraph, [78.0, 1164.0, 600.0, 18.0], shoonya_1sYED4HRZ491XQ, 5767184]
